Arrival Time,order,wait,payment,Total Time
2024-04-23 19:00:12,164.0,145.0,114.0,423.0
2024-04-23 19:01:05,119.0,144.0,51.0,314.0
2024-04-23 19:05:08,109.0,87.0,102.0,298.0
2024-04-23 19:11:26,68.0,9.0,193.0,270.0
2024-04-23 19:12:06,56.0,140.0,89.0,285.0
2024-04-23 19:13:45,73.0,156.0,43.0,272.0
2024-04-23 19:15:02,119.0,82.0,105.0,306.0
2024-04-23 19:17:04,44.0,141.0,63.0,248.0
2024-04-23 19:17:52,122.0,81.0,138.0,341.0
2024-04-23 19:19:58,67.0,150.0,36.0,253.0
2024-04-23 19:21:12,55.0,132.0,57.0,244.0
2024-04-23 19:22:10,48.0,140.0,129.0,317.0
2024-04-23 19:22:59,56.0,214.0,85.0,355.0
2024-04-23 19:24:02,61.0,235.0,41.0,337.0
2024-04-23 19:25:08,100.0,172.0,93.0,365.0
2024-04-23 19:26:55,56.0,210.0,30.0,296.0
2024-04-23 19:28:15,65.0,139.0,34.0,238.0
2024-04-23 19:34:35,32.0,9.0,53.0,94.0
2024-04-23 19:42:20,40.0,8.0,89.0,137.0
2024-04-23 19:43:05,57.0,38.0,118.0,213.0
2024-04-23 19:52:02,78.0,7.0,28.0,113.0
2024-04-23 19:55:23,38.0,19.0,110.0,167.0
2024-04-23 19:56:19,50.0,69.0,27.0,146.0
2024-04-23 19:56:21,34.0,63.0,42.0,139.0
2024-04-23 19:57:49,73.0,33.0,59.0,165.0
2024-04-23 19:59:28,75.0,12.0,60.0,147.0
2024-04-23 20:03:08,33.0,34.0,189.0,256.0
2024-04-23 20:07:15,33.0,8.0,113.0,154.0
2024-04-23 20:08:12,69.0,27.0,46.0,142.0
2024-04-23 20:09:59,80.0,11.0,70.0,161.0
2024-04-23 20:17:42,30.0,9.0,299.0,338.0
2024-04-23 20:19:18,97.0,168.0,108.0,373.0
2024-04-23 20:21:00,92.0,188.0,38.0,318.0
2024-04-23 20:28:15,97.0,5.0,147.0,249.0
2024-04-23 20:31:11,100.0,48.0,198.0,346.0
2024-04-23 20:33:33,28.0,204.0,43.0,275.0
2024-04-23 20:35:35,76.0,70.0,219.0,365.0
2024-04-23 20:44:11,49.0,6.0,219.0,274.0
2024-04-23 20:44:45,45.0,177.0,51.0,273.0
2024-04-23 20:45:51,41.0,185.0,68.0,294.0
2024-04-23 20:52:38,181.0,12.0,33.0,226.0
2024-04-23 20:55:12,164.0,8.0,159.0,331.0
2024-04-23 21:02:11,60.0,9.0,177.0,246.0
2024-04-23 21:03:24,57.0,128.0,43.0,228.0
2024-04-23 21:04:24,94.0,79.0,136.0,309.0
2024-04-23 21:06:26,117.0,36.0,140.0,293.0
2024-04-23 21:09:01,79.0,96.0,34.0,209.0
2024-04-23 21:10:24,22.0,110.0,0.0,132.0
2024-04-23 21:10:53,34.0,74.0,51.0,159.0
2024-04-23 21:13:37,53.0,7.0,80.0,140.0
2024-04-23 21:15:35,195.0,9.0,96.0,300.0
2024-04-23 21:19:03,85.0,25.0,139.0,249.0
2024-04-23 21:21:17,95.0,18.0,189.0,302.0
2024-04-23 21:23:06,59.0,147.0,70.0,276.0
2024-04-23 21:24:08,50.0,166.0,27.0,243.0
2024-04-23 21:33:47,109.0,6.0,75.0,190.0
2024-04-23 21:37:51,293.0,9.0,281.0,583.0
2024-04-23 21:42:52,239.0,50.0,62.0,351.0
2024-04-23 21:46:54,123.0,9.0,84.0,216.0
2024-04-23 21:49:03,29.0,63.0,81.0,173.0
2024-04-23 21:49:37,44.0,99.0,47.0,190.0
2024-04-23 21:50:24,118.0,10.0,194.0,322.0
2024-04-23 21:57:30,66.0,8.0,155.0,229.0
2024-04-23 21:58:45,48.0,114.0,59.0,221.0
2024-04-23 21:59:57,50.0,90.0,48.0,188.0
2024-04-23 22:08:23,81.0,12.0,100.0,193.0
2024-04-23 22:08:47,76.0,37.0,628.0,741.0
2024-04-23 22:13:06,72.0,481.0,24.0,577.0
2024-04-23 22:15:35,49.0,376.0,30.0,455.0
2024-04-23 22:16:35,25.0,379.0,18.0,422.0
2024-04-23 22:17:15,33.0,74.0,111.0,218.0
2024-04-23 22:23:09,64.0,46.0,125.0,235.0
2024-04-23 22:25:01,135.0,35.0,581.0,751.0
2024-04-23 22:25:41,110.0,489.0,155.0,754.0
2024-04-23 22:29:31,47.0,596.0,67.0,710.0
2024-04-23 22:30:57,182.0,438.0,200.0,820.0
2024-04-23 22:34:12,18.0,416.0,52.0,486.0
2024-04-23 22:37:55,166.0,304.0,67.0,537.0
2024-04-23 22:51:27,47.0,12.0,92.0,151.0
2024-04-23 22:56:40,73.0,6.0,234.0,313.0
2024-04-23 23:02:46,33.0,5.0,83.0,121.0
2024-04-23 23:04:40,47.0,5.0,98.0,150.0
2024-04-23 23:05:33,42.0,52.0,141.0,235.0
2024-04-23 23:06:39,70.0,103.0,325.0,498.0
2024-04-23 23:08:19,93.0,281.0,84.0,458.0
2024-04-23 23:16:11,29.0,9.0,94.0,132.0
2024-04-23 23:16:46,21.0,81.0,77.0,179.0
2024-04-23 23:18:38,55.0,12.0,137.0,204.0
2024-04-23 23:27:10,174.0,5.0,303.0,482.0
2024-04-23 23:30:21,32.0,282.0,19.0,333.0
2024-04-23 23:31:22,65.0,175.0,120.0,360.0
